student_id,name,class,parent_name,parent_phone
STU368,,,,
STU369,,,,
STU370,,,,
STU371,,,,
STU372,,,,
STU373,,,,
STU374,,,,
STU375,,,,
STU376,,,,
STU377,,,,
STU378,,,,
STU379,,,,
STU380,,,,
STU381,,,,
STU382,,,,
STU383,,,,
STU384,,,,
STU385,,,,
STU386,,,,
STU387,,,,
STU388,,,,
STU389,,,,
STU390,,,,
STU391,,,,
STU392,,,,
STU393,,,,
STU394,,,,
STU395,,,,
STU396,,,,
STU397,,,,
STU398,,,,
STU399,,,,
STU400,,,,
STU401,,,,
STU402,,,,
STU403,,,,
STU404,,,,
STU405,,,,
STU406,,,,
STU407,,,,
STU408,,,,
STU409,,,,
STU410,,,,
STU411,,,,
STU412,,,,
STU413,,,,
STU414,,,,
STU415,,,,
STU416,,,,
STU417,,,,
STU418,,,,
STU419,,,,
STU420,,,,
STU421,,,,
STU422,,,,
STU423,,,,
STU424,,,,
STU425,,,,
STU426,,,,
STU427,,,,
STU428,,,,
STU429,,,,
STU430,,,,
STU431,,,,
STU432,,,,
STU433,,,,
STU434,,,,
STU435,,,,
STU436,,,,
STU437,,,,
STU438,,,,
STU439,,,,
STU440,,,,
STU441,,,,
STU442,,,,
STU443,,,,
STU444,,,,
STU445,,,,
STU446,,,,
STU447,,,,
STU448,,,,
STU449,,,,
STU450,,,,
STU451,,,,
STU452,,,,
STU453,,,,
STU454,,,,
STU455,,,,
STU456,,,,
STU457,,,,
STU458,,,,
STU459,,,,
STU460,,,,
STU461,,,,
STU462,,,,
STU463,,,,
STU464,,,,
STU465,,,,
STU466,,,,
STU467,,,,
STU468,,,,
STU469,,,,
STU470,,,,
STU471,,,,
STU472,,,,
STU473,,,,
STU474,,,,
STU475,,,,
STU476,,,,
STU477,,,,
STU478,,,,
STU479,,,,
STU480,,,,
STU481,,,,
STU482,,,,
STU483,,,,
STU484,,,,
STU485,,,,
STU486,,,,
STU487,,,,
STU488,,,,
STU489,,,,
STU490,,,,
STU491,,,,
STU492,,,,
STU493,,,,
STU494,,,,
STU495,,,,
STU496,,,,
STU497,,,,
STU498,,,,
STU499,,,,
STU500,,,,
STU501,,,,
STU502,,,,
STU503,,,,
STU504,,,,
STU505,,,,
STU506,,,,
STU507,,,,
STU508,,,,
STU509,,,,
STU510,,,,
STU511,,,,
STU512,,,,
STU513,,,,
STU514,,,,
STU515,,,,
STU516,,,,
STU517,,,,
STU518,Uddeshya,3,Megha,8169434729
STU519,Uddeshya,3,Megha,8169434729
STU520,Uddeshya,1,Megha,8169434729
